t_s,I_exp_A,V_exp_V,SOC,Qcell[Ah],T_exp_degC,TopCellTemp[degC]
0,-0.001966269,4.187752342,1,0,25,25
0.005,-19.09706119,4.044292816,0.999993326,-3.00E-05,25,25
5.003,-20.35612885,3.928451167,0.993764157,-0.028061293,25,25
10.003,-20.51474123,3.8985318,0.987455014,-0.056452438,25,25
15.003,-20.62091976,3.879352719,0.981105984,-0.085023073,25,25
20.003,-20.69301629,3.865735572,0.974729438,-0.113717529,25,25
25.004,-20.74676098,3.855378868,0.968333517,-0.142499175,25,25
30.003,-20.7900189,3.847515445,0.961924033,-0.171341852,25,25
35.003,-20.82803344,3.840419185,0.955501475,-0.200243363,25,25
40.003,-20.86080459,3.834665461,0.949067627,-0.229195679,25,25
45.004,-20.89357575,3.828528155,0.942623545,-0.258194047,25,25
50.003,-20.92503605,3.82277443,0.936171068,-0.287230193,25,25
55.003,-20.95584093,3.817404288,0.929707782,-0.316314979,25,25
60.003,-20.98861209,3.8108834,0.923234517,-0.345444673,25,25
65.003,-21.02072782,3.805513257,0.916751362,-0.374618873,25,25
70.004,-21.05480981,3.79899237,0.910257457,-0.403841444,25,25
75.003,-21.08889181,3.793046855,0.903755008,-0.433102462,25,25
80.003,-21.12297381,3.786909549,0.897240175,-0.462419214,25,25
85.004,-21.15836665,3.780388661,0.890715085,-0.491782115,25,25
90.003,-21.1937595,3.774443146,0.884180222,-0.521189002,25,25
95.003,-21.2278415,3.767922259,0.87763381,-0.550647857,25,25
100.004,-21.26913315,3.761017789,0.871074705,-0.580163827,25,25
105.003,-21.30518142,3.754880483,0.864506247,-0.609721887,25,25
110.003,-21.34319595,3.747976014,0.857924637,-0.639339135,25,25
115.003,-21.38252133,3.740687964,0.851330918,-0.669010867,25,25
120.003,-21.42512383,3.733591704,0.844724288,-0.698740704,25,25
125.003,-21.46772633,3.726111862,0.838105506,-0.728525224,25,25
130.003,-21.51098425,3.71863202,0.831472803,-0.758372387,25,25
135.003,-21.55555302,3.710960388,0.824826498,-0.788280757,25,25
140.004,-21.6033989,3.702905174,0.818165539,-0.818255073,25,25
145.004,-21.64796767,3.694658169,0.811490844,-0.848291203,25,25
150.003,-21.69581355,3.686794746,0.804802953,-0.878386712,25,25
155.003,-21.74497028,3.678547741,0.7980981,-0.908558548,25,25
160.003,-21.79216074,3.670684318,0.791379803,-0.938790885,25,25
165.003,-21.84066204,3.662437313,0.784646817,-0.969089323,25,25
170.003,-21.8878525,3.654765681,0.777898557,-0.999456495,25,25
175.003,-21.93504296,3.646710466,0.771135748,-1.029889135,25,25
180.003,-21.98223342,3.639038834,0.764358572,-1.060386427,25,25
185.003,-22.02745761,3.631558992,0.75756792,-1.090944362,25,25
190.003,-22.07464807,3.623503778,0.75076145,-1.121573473,25,25
195.003,-22.11921683,3.6167911,0.743941365,-1.152263858,25,25
200.003,-22.16575187,3.608735886,0.737108557,-1.183011493,25,25
205.003,-22.21097606,3.601447835,0.730259836,-1.213830738,25,25
210.003,-22.25620025,3.594159784,0.723397962,-1.244709173,25,25
215.003,-22.30011359,3.586871734,0.716522109,-1.27565051,25,25
220.003,-22.34730405,3.579391892,0.709631801,-1.306656894,25,25
225.004,-22.39187282,3.572295632,0.702725877,-1.337733553,25,25
230.003,-22.44234039,3.564240418,0.695808591,-1.368861342,25,25
235.003,-22.48756458,3.557144158,0.688874097,-1.400066564,25,25
240.003,-22.53541047,3.549664316,0.681925671,-1.431334478,25,25
245.003,-22.58391177,3.541800893,0.674963103,-1.462666038,25,25
