t_s,Line,I_exp_A,V_exp_V,Ah [Ah],SOC,T_exp_degC,Current_temp_1813 Ch 14 Bottom,Current_temp_1813 Ch 14 Top
567881.382,804,0.004564557,4.186784063,4.264398768,1,10.07505,10,10
567881.385,804,-6.233880377,4.131558552,4.264394634,0.999999031,10.07505,10,10
567881.583,804,-6.310173683,4.082085698,4.264048732,0.999917917,10.07505,10,10
567881.782,804,-6.318650717,4.07594953,4.263698014,0.999835673,10.07832,10,10
567881.982,804,-6.319954876,4.071347404,4.263347014,0.999753364,10.07832,10,10
567882.182,804,-6.319954876,4.067704054,4.262996122,0.99967108,10.07832,10,10
567882.382,804,-6.319954876,4.06463597,4.262645014,0.999588745,10.07832,10,10
567882.582,804,-6.319954876,4.061951397,4.262293905,0.99950641,10.07505,10,10
567882.782,804,-6.319954876,4.059650334,4.261942578,0.999424024,10.07505,10,10
567882.982,804,-6.319954876,4.057541026,4.261591671,0.999341737,10.07832,10,10
567883.182,804,-6.319954876,4.055623474,4.261240561,0.999259402,10.07832,10,10
567883.382,804,-6.319954876,4.053897677,4.260889447,0.999177065,10.07832,10,10
567883.582,804,-6.319954876,4.052171879,4.260537983,0.999094647,10.07832,10,10
567883.783,804,-6.320606956,4.050446082,4.260186389,0.999012199,10.07832,10,10
567883.982,804,-6.319954876,4.049103795,4.259835755,0.998929975,10.07832,10,10
567884.183,804,-6.319954876,4.047761509,4.25948436,0.998847573,10.07832,10,10
567884.382,804,-6.319954876,4.046419222,4.259133562,0.998765311,10.07832,10,10
567884.582,804,-6.319954876,4.045076935,4.258782789,0.998683055,10.07832,10,10
567884.782,804,-6.319954876,4.043734648,4.258431688,0.998600722,10.07832,10,10
567884.982,804,-6.319954876,4.042584117,4.258080575,0.998518386,10.07505,10,10
567885.183,804,-6.319954876,4.041625341,4.257728751,0.998435883,10.07505,10,10
567885.382,804,-6.319954876,4.040474809,4.257378355,0.998353716,10.07832,10,10
567885.387,804,-6.816187404,4.034722152,4.257368886,0.998351495,10.07832,10,10
567885.582,804,-6.889872392,4.030695292,4.256996426,0.998264153,10.07832,10,10
567885.783,804,-6.899001506,4.029353005,4.256612639,0.998174155,10.07832,10,10
567885.982,804,-6.899653585,4.028010718,4.256230058,0.998084441,10.07832,10,10
567886.183,804,-6.899653585,4.026668431,4.255846014,0.997994382,10.07832,10,10
567886.382,804,-6.900305665,4.0255179,4.255463411,0.997904662,10.07832,10,10
567886.582,804,-6.900305665,4.024367369,4.255079966,0.997814744,10.07832,10,10
567886.782,804,-6.900305665,4.023408592,4.254696324,0.99772478,10.07832,10,10
567886.982,804,-6.900305665,4.022258061,4.254313303,0.997634962,10.07832,10,10
567887.183,804,-6.900305665,4.02149104,4.253928718,0.997544777,10.07832,10,10
567887.383,804,-6.900305665,4.020532264,4.253545988,0.997455027,10.07505,10,10
